feature,importance_proxy,direction,correlation_with_score,importance_percent
customer_count,0.7228309409791216,positive,0.7228309409791216,7.15
market_share_defense_score,0.7077878867779149,positive,0.7077878867779149,7.0
new_customer_potential_score,0.6677553426861469,positive,0.6677553426861469,6.6
customer_density_score,0.6576605215295592,positive,0.6576605215295592,6.5
population_count,0.5433141839214708,positive,0.5433141839214708,5.37
economic_activity_index,0.4960262689700612,positive,0.4960262689700612,4.9
avg_daily_mobility,0.47501159313499375,positive,0.47501159313499375,4.7
population_density,0.4308109672140066,positive,0.4308109672140066,4.26
competition_pressure_score,0.41522458027571635,positive,0.41522458027571635,4.1
competition_pressure_index,0.41522458027571635,positive,0.41522458027571635,4.1
competitor_count,0.40075845340893523,positive,0.40075845340893523,3.96
competitor_density,0.4007584534089344,positive,0.4007584534089344,3.96
poi_count,0.3258061476763373,positive,0.3258061476763373,3.22
facility_attractiveness_score,0.32016803292343066,positive,0.32016803292343066,3.17
accessibility_score,0.3187783115554184,positive,0.3187783115554184,3.15
estimated_travel_time_min,0.28309284198634066,negative,-0.28309284198634066,2.8
distance_to_nearest_competitor_km,0.26209169232596036,negative,-0.26209169232596036,2.59
distance_to_nearest_branch_km,0.2543271301968378,negative,-0.2543271301968378,2.51
avg_distance_customer_to_branch_km,0.2514350817163252,negative,-0.2514350817163252,2.49
peak_hour_index,0.2042027602213259,negative,-0.2042027602213259,2.02
mobility_density,0.20339288717861626,positive,0.20339288717861626,2.01
active_customer_ratio,0.1770404501250341,negative,-0.1770404501250341,1.75
churn_risk_customer_ratio,0.17704045012503408,positive,0.17704045012503408,1.75
customer_penetration_ratio,0.17635134235595065,positive,0.17635134235595065,1.74
road_access_score,0.16329721766419744,positive,0.16329721766419744,1.61
productive_age_ratio,0.1496087757579376,positive,0.1496087757579376,1.48
avg_income_index,0.1386881263047131,negative,-0.1386881263047131,1.37
avg_recency_days,0.11577223376763882,positive,0.11577223376763882,1.14
avg_transaction_frequency,0.09551782128236229,positive,0.09551782128236229,0.94
inactive_customer_ratio,0.07911853346409461,positive,0.07911853346409461,0.78
loyal_customer_ratio,0.05565302221114152,positive,0.05565302221114152,0.55
traffic_intensity_index,0.02362405889541696,positive,0.02362405889541696,0.23
retention_risk_score,0.007573789856688332,positive,0.007573789856688332,0.07
